source,target
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Machine_translation
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Information_extraction
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Information_retrieval
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Question_answering
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Noam_Chomsky
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Generative_grammar
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Semantic_network
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Word-sense_disambiguation
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Blocks_world
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Margaret_Masterman
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Thesauri
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Word_embedding
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Vector_space
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Transformer_(machine_learning_model)
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Attention_(machine_learning)
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Bar_exam
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/SAT
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/GRE
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Machine_perception
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Lidar
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Tactile_sensor
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Computer_vision
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Speech_recognition
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Image_classification
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Facial_recognition_system
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Object_recognition
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Motion_capture
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Robotic_perception
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Kismet_(robot)
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Affective_computing
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Affect_(psychology)
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Virtual_assistant
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Human%E2%80%93computer_interaction
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Sentiment_analysis
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Multimodal_sentiment_analysis
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Artificial_general_intelligence
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Human_intelligence
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/State_space_search
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Local_search_(optimization)
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/State_space_search
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Automated_planning_and_scheduling
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Means-ends_analysis
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Brute_force_search
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Search_algorithm
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Astronomically_large
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Computation_time
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Heuristics
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Adversarial_search
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Game_AI
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Game_tree
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Gradient_descent
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Loss_function
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Local_search_(optimization)
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Mathematical_optimization
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Gradient_descent
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Loss_function
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Artificial_neural_network
https://en.wikipedia.org/wiki/Artificial_intelligence,https://en.wikipedia.org/wiki/Backpropagation
